Date,Adj Close,Close,High,Low,Open,Volume
1/3/2023,124.36554,124.739998,126.370003,122.279999,122.82,35528500
1/4/2023,126.987656,127.370003,129.050003,125.849998,127.379997,32397100
1/5/2023,126.558945,126.940002,128.520004,124.540001,126.129997,25447100
1/6/2023,129.6297,130.020004,130.330002,126.040001,128.970001,27584500
1/9/2023,129.081345,129.470001,132.949997,129.279999,131.160004,26649100
1/10/2023,132.59079,132.990005,133.440002,127.150002,127.269997,28684400
1/11/2023,132.491089,132.889999,133.850006,130.339996,130.960007,25423000
1/12/2023,136.299622,136.710007,137.679993,131.759995,133.440002,30757700
1/13/2023,136.568802,136.979996,137.389999,134.839996,134.970001,22423800
1/17/2023,134.953674,135.360001,136.75,134.25,136.179993,21147600
1/18/2023,132.620697,133.020004,137.25,132.800003,135.809998,20215500
1/19/2023,135.741302,136.149994,137.449997,132.139999,132.490005,28625200
1/20/2023,138.95163,139.369995,139.940002,134.610001,135.889999,28688600
1/23/2023,142.839935,143.270004,143.759995,138.660004,139.289993,27470100
1/24/2023,142.710312,143.139999,145,141.360001,141.690002,21970200
1/25/2023,141.075241,141.5,143.169998,140.309998,141.220001,26622000
1/26/2023,146.857834,147.300003,147.509995,143.300003,144.399994,25482100
1/27/2023,151.2845,151.740005,153.190002,147.389999,148.240005,35771900
1/30/2023,146.618546,147.059998,151.119995,146.949997,149.410004,28040100
1/31/2023,148.522812,148.970001,149.880005,147.520004,147.949997,29842100
2/1/2023,152.660355,153.119995,153.580002,147.059998,148.029999,55661000
2/2/2023,188.203339,188.770004,197.160004,180.160004,183.380005,150475700
2/3/2023,185.970062,186.529999,196.770004,182.889999,183.470001,76809700
2/6/2023,185.50148,186.059998,190.699997,185.520004,186.529999,42483800
2/7/2023,191.044785,191.619995,193.779999,184.399994,185.580002,47080700
2/8/2023,182.879364,183.429993,190.830002,182.919998,190,36139100
2/9/2023,177.38591,177.919998,186.649994,177.270004,186.130005,37118800
2/10/2023,173.627213,174.149994,178.889999,173.350006,176.350006,33433600
2/13/2023,178.891388,179.429993,181,175.820007,178.220001,31463200
