Date,Adj Close,Close,High,Low,Open,Volume
4/30/2020,204.095505,204.710007,209.690002,201.570007,206.919998,46230100
5/1/2020,201.662811,202.270004,207.279999,199.050003,201.600006,30415600
5/4/2020,204.643829,205.259995,205.910004,198.759995,200.199997,19250700
5/5/2020,206.448425,207.070007,210.380005,206.5,207.020004,21071200
5/6/2020,207.844208,208.470001,211.600006,206.660004,208.119995,21857000
5/7/2020,210.625824,211.259995,211.600006,209.039993,211.160004,15152000
5/8/2020,211.712555,212.350006,213.210007,210.850006,212.240005,12506000
5/11/2020,212.540054,213.179993,215,210.369995,210.889999,12911900
5/12/2020,209.469315,210.100006,215.279999,210,213.289993,14704600
5/13/2020,204.484344,205.100006,210.779999,202.110001,209.429993,20684600
5/14/2020,206.189194,206.809998,206.929993,200.690002,202.559998,17178900
5/15/2020,210.246979,210.880005,211.339996,204.119995,205.270004,19383200
5/18/2020,212.550049,213.190002,214.639999,210.940002,212.149994,20151900
5/19/2020,216.228958,216.880005,220.490005,212.830002,213.270004,31843200
5/20/2020,229.279663,229.970001,231.339996,223.190002,223.5,50162900
5/21/2020,230.695389,231.389999,237.199997,231.199997,234.720001,47782600
5/22/2020,234.204849,234.910004,235.990005,228.740005,231.509995,33925600
5/26/2020,231.50296,232.199997,240.899994,231.669998,239.770004,33178300
5/27/2020,228.452164,229.139999,230.559998,221.130005,229.070007,34697600
5/28/2020,224.783203,225.460007,231.630005,224,224.300003,29377200
5/29/2020,224.414322,225.089996,227.490005,222.880005,225.199997,23241500
6/1/2020,231.213837,231.910004,232.440002,223.5,224.589996,18223800
6/2/2020,232.021408,232.720001,233,226.559998,230.940002,20919000
6/3/2020,229.469101,230.160004,232.649994,228.529999,232.110001,15380300
6/4/2020,225.610718,226.289993,231.630005,224.610001,229.559998,17041500
6/5/2020,230.077255,230.770004,231.350006,225.309998,226.710007,16750400
6/8/2020,230.705368,231.399994,231.550003,227.410004,229.029999,15466500
6/9/2020,237.953552,238.669998,239.770004,230.410004,231.520004,27462900
6/10/2020,236.019379,236.729996,241.210007,235.279999,240.960007,20720700
6/11/2020,223.756302,224.429993,232.889999,223.550003,229.940002,26708200
6/12/2020,227.893845,228.580002,231.660004,224.5,229.899994,22091400
6/15/2020,231.802063,232.5,233.770004,224.800003,225.089996,15340300
6/16/2020,234.942627,235.649994,238.460007,233,237.139999,15236700
6/17/2020,234.822968,235.529999,237.589996,231.729996,235,19578100
6/18/2020,235.23175,235.940002,236.139999,232.149994,234.990005,15782500
6/19/2020,238.073181,238.789993,240.830002,235.550003,237.789993,30081300
6/22/2020,238.501907,239.220001,240.699997,236.910004,238.559998,18917800
6/23/2020,241.512833,242.240005,245.190002,239.860001,241.279999,24017900
6/24/2020,233.317505,234.020004,243.220001,232.679993,241.199997,20834900
6/25/2020,234.972519,235.679993,237.300003,232.740005,234.619995,18704300
6/26/2020,215.431366,216.080002,233.089996,215.399994,232.639999,76343900
6/29/2020,219.977661,220.639999,220.75,207.110001,209.75,58514300
6/30/2020,226.388382,227.070007,227.5,218.470001,220.589996,33927100
7/1/2020,236.836914,237.550003,239,227.559998,228.5,43399700
7/2/2020,232.719299,233.419998,240,232.610001,239,30633600
7/6/2020,239.558716,240.279999,240.399994,232.270004,233.759995,26206200
7/7/2020,240.136993,240.860001,247.649994,238.820007,239.410004,27887800
7/8/2020,242.848816,243.580002,246.990005,236.589996,238.110001,29791300
7/9/2020,243.766052,244.5,246.529999,239.240005,245,22174900
7/10/2020,244.334351,245.070007,245.490005,239.320007,243.690002,22982700
7/13/2020,238.282562,239,250.149994,238.419998,247.009995,24674900
7/14/2020,239.010361,239.729996,240.330002,232.029999,236.759995,23378100
7/15/2020,239.558716,240.279999,244.820007,238.050003,241.550003,19133600
7/16/2020,240.206757,240.929993,241.759995,236.330002,238,18880700
7/17/2020,241.303467,242.029999,244.160004,237.860001,241,18152400
7/20/2020,244.683289,245.419998,246.050003,235.639999,240.059998,20872200
7/21/2020,241.024307,241.75,246.910004,240.080002,246.220001,19364200
7/22/2020,239.149933,239.869995,241.899994,238.119995,240.259995,15427900
7/23/2020,231.901779,232.600006,242.419998,231.75,239.630005,21771800
7/24/2020,230.017456,230.710007,233.490005,226.899994,230.190002,18325800
7/27/2020,232.799072,233.5,234.949997,230.830002,231.460007,13163100
7/28/2020,229.429214,230.119995,234.960007,229.830002,234.630005,14170100
7/29/2020,232.589691,233.289993,233.699997,230.309998,231.139999,13588300
7/30/2020,233.796051,234.5,234.889999,229,230.220001,20615300
7/31/2020,252.908524,253.669998,255.850006,249,255.820007,53005100
8/3/2020,251.203674,251.960007,255.399994,250.330002,252.649994,23124900
8/4/2020,249.080063,249.830002,252.800003,247.429993,251.559998,17183500
8/5/2020,248.372177,249.119995,252.270004,247.770004,250.190002,13050100
8/6/2020,264.483673,265.279999,266.600006,248.669998,249.039993,45241600
8/7/2020,267.634186,268.440002,278.890015,263.429993,264.079987,72766400
